[2023-12-24 23:20:51] | ����Ա: Windows PowerShell
[2023-12-24 23:20:54] | test1.py - AllMind - Visual Studio Code [Administrator]
[2023-12-24 23:20:55] | active_window_log.txt - AllMind - Visual Studio Code [Administrator]
[2023-12-25 16:16:45] | Electron, active_window_log.txt �? AllMind
[2023-12-25 16:16:48] | Google Chrome, Playground - OpenAI API - 内存用量 - 111 MB - Google Chrome
[2023-12-25 16:18:26] | Google Chrome, no window
[2023-12-25 16:18:27] | Google Chrome, Playground - OpenAI API - 内存用量 - 111 MB - Google Chrome
[2023-12-25 16:18:45] | Google Chrome,
[2023-12-25 16:18:45] | Google Chrome, Playground - OpenAI API - 内存用量 - 111 MB - Google Chrome
[2023-12-25 16:19:43] | Google Chrome,
[2023-12-25 16:19:43] | Google Chrome, Playground - OpenAI API - 内存用量 - 111 MB - Google Chrome
[2023-12-25 16:19:53] | Electron, active_window_log.txt �? AllMind
[2023-12-25 16:20:00] | Google Chrome, Playground - OpenAI API - 内存用量 - 111 MB - Google Chrome
[2023-12-25 16:20:03] | Error executing AppleScript
[2023-12-25 16:20:04] | Google Chrome, Playground - OpenAI API - 内存用量 - 111 MB - Google Chrome
[2023-12-25 16:20:14] | Google Chrome,
[2023-12-25 16:20:15] | Google Chrome, Playground - OpenAI API - 内存用量 - 111 MB - Google Chrome
[2023-12-25 16:20:44] | Google Chrome, Playground - OpenAI API - 内存用量 - 110 MB - Google Chrome
[2023-12-25 16:21:09] | Google Chrome,
[2023-12-25 16:21:10] | Google Chrome, Playground - OpenAI API - 内存用量 - 110 MB - Google Chrome
[2023-12-25 16:21:53] | Error executing AppleScript
[2023-12-25 16:21:53] | Google Chrome, Playground - OpenAI API - 内存用量 - 110 MB - Google Chrome
[2023-12-25 16:22:04] | Error executing AppleScript
[2023-12-25 16:22:04] | Google Chrome, Playground - OpenAI API - 内存用量 - 110 MB - Google Chrome
[2023-12-25 16:22:40] | Electron, active_window_log.txt �? AllMind
[2023-12-25 16:22:43] | Google Chrome, Playground - OpenAI API - 内存用量 - 110 MB - Google Chrome
